,link,text,user,likes,quotes,retweets,comments
35,https://twitter.com/MrBeast/status/1713997169689038848#m,Found these comments on an old video lol,MrBeast,163779,154,3928,3757
36,https://twitter.com/MrBeast/status/1713586730257764713#m,What’s interesting is it’s with a closed mouth thumbnail (thank gosh open mouth was cringe)  I screamed way less in the video lol  We slowed the video down a lot  Showed more of me and the boys being dumb  cut less than I normally do  And it seems like everyone liked the changes. Hopefully other creators notice because I feel like in general content on YouTube has gotten to fast paced/tense and I want to lead by example and show that viewers don’t want that. Focus less on screaming/moving fast and more on story!,MrBeast,39144,202,1196,1687
37,https://twitter.com/MrBeast/status/1713583920082477190#m,New video broke the world record for most views in 24 hours (non music) 😮,MrBeast,119274,575,4304,4560
38,https://twitter.com/MrBeast/status/1713405847089422378#m,"We hit 200,000,000 subscribers! If you traveled back in time and showed this screenshot to me when I was 13, there is 0 shot he’d believe it’s real haha 🥺❤️  This is just the beginning though, I still have decades left in the tank 😈",MrBeast,258226,1733,13595,9629
39,https://twitter.com/MrBeast/status/1713223378574692530#m,"Justin Timberlake, Miranda Cosgrove, Mark Cuban, and our biggest explosions yet are all in the new video! Go watch :D",MrBeast,55106,171,2177,2302
40,https://twitter.com/MrBeast/status/1711099988388855913#m,Seems like everyone liked it,MrBeast,21413,69,744,1331
41,https://twitter.com/MrBeast/status/1711088934518702120#m,"I won $10,000 in a board game tournament 🥰  Now I’m off to bury myself alive for a week lol",MrBeast,121528,306,3330,4013
42,https://twitter.com/MrBeast/status/1710686538802081928#m,New video has much slower pacing and some of our best sets since Squid Games! Go watch :D,MrBeast,73051,213,1959,3370
43,https://twitter.com/MrBeast/status/1709945147767840830#m,When I had a few thousand subscribers I made a video predicting how many subscribers I’d have in 10 years and schedule it to manually go public in 10 years… that video goes live in two years from today 😮,MrBeast,226958,340,6913,3971
44,https://twitter.com/MrBeast/status/1709046466629554577#m,Lots of people are getting this deepfake scam ad of me… are social media platforms ready to handle the rise of AI deepfakes? This is a serious problem,MrBeast,168184,1811,10342,8033
45,https://twitter.com/MrBeast/status/1708892765713539357#m,Can’t wait to see what the logo will look like on the court 👀,MrBeast,12282,17,487,619
46,https://twitter.com/MrBeast/status/1708892535018405992#m,Feastables is the official sponsor of the @hornets :)  I love Basketball so it only makes sense for Feastables’s first sponsorship to be with my home team 🥰,MrBeast,113226,692,4450,2714
47,https://twitter.com/MrBeast/status/1707872553715302808#m,"I messed up.. I bought a random grocery store and told a random person I’d give him $10,000 everyday he lives in it and it’s been weeks and he shows no signs of ever leaving. I’m gonna go broke 😭",MrBeast,410565,2340,12340,13405
48,https://twitter.com/MrBeast/status/1707869833356833225#m,"I’m about to run this experiment, let’s see how they do!",MrBeast,77144,325,3138,7548
